facility_code,facility_name,facility_name_short,first_nation_name,day_of_week,day_name,day_name_long,time_band,busyness_score,waiting_count,median_wait_all,median_wait_high_acuity,treatment_spaces,facility_type,open_hours,open_days,alert_active,alert_message,latitude,longitude
15,,,,5,Fri,Friday,7,2.0,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,14,5.9,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,12,5.1,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,6,2.2,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,22,6.4,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,5,2.4,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,20,6.5,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,3,2.8,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,0,4.3,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,2,3.3,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,23,5.1,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,8,2.1,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,16,5.0,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,15,5.6,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,18,8.1,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,4,2.7,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,1,3.6,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,21,7.2,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,9,2.9,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,19,7.8,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,13,5.6,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,17,6.2,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,10,4.5,6,24,-,,,,,,,,
15,,,,5,Fri,Friday,11,3.6,6,24,-,,,,,,,,
16,,,,5,Fri,Friday,9,5.6,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,1,2.1,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,16,7.6,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,5,1.7,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,6,1.9,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,19,6.9,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,14,9.4,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,10,7.2,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,18,7.8,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,4,1.7,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,21,4.2,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,2,1.4,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,20,5.0,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,7,3.2,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,15,7.9,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,3,1.6,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,17,7.2,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,0,3.3,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,12,8.2,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,23,3.1,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,8,3.4,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,11,6.3,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,13,9.2,7,38,54,,,,,,,,
16,,,,5,Fri,Friday,22,3.2,7,38,54,,,,,,,,
22,,,,5,Fri,Friday,19,5.8,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,9,3.6,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,11,3.9,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,16,4.8,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,20,6.3,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,13,6.2,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,2,1.3,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,12,4.8,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,0,2.3,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,22,5.2,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,23,4.0,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,1,1.8,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,8,2.4,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,5,0.9,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,6,1.2,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,7,1.5,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,3,1.0,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,17,5.1,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,21,6.0,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,10,3.2,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,4,0.7,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,15,5.2,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,14,5.7,3,7,-,,,,,,,,
22,,,,5,Fri,Friday,18,6.0,3,7,-,,,,,,,,
28,,,,5,Fri,Friday,8,2.6,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,20,3.6,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,16,3.4,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,12,5.8,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,5,1.4,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,9,3.4,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,3,1.0,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,13,6.8,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,19,3.4,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,21,3.8,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,22,2.9,7,19,7,,,,,,,,
28,,,,5,Fri,Friday,23,2.1,7,19,7,,,,,,,,
