facility_code,facility_name,facility_name_short,first_nation_name,latitude,longitude,treatment_spaces,facility_type,day_name,time_band,busyness_score,wait_time_minutes,high_acuity_wait_minutes,alert_active,alert_message
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,5,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,22,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,12,0.3,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,9,0.6,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,13,1.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,8,0.7,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,16,1.6,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,4,0.0,12.0,12.0,false,
15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,153.4917939,8,MIIC,Fri,20,0.7,12.0,12.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,22,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,16,1.5,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,21,0.2,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,17,1.2,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,6,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,9,1.1,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,12,1.7,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,14,1.9,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,23,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,7,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,15,1.7,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,1,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,10,1.6,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,18,1.4,10.0,10.0,false,
